,Lineage,Diversity,Fluctuations,Final Composition,Community Function,Lyapunov Exponent (cycle 5),Lyapunov Exponent (cycle 12),Cycle,No. Unique Compositions,Ecological Dynamics
11,11,18,1.0,"[ 0.  5.  8.  9. 10. 11. 13. 15. 17. 20. 21. 24. 25. 31. 32. 41. 42. 47.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",640.5487492838689,"[0.6024532267086717, 0.681890102942127]","[0.5601926670657653, 0.6921673969828891]",0,15,chaos
12,12,17,0.6470588235294118,"[ 0.  2.  3.  6.  8.  9. 10. 11. 13. 15. 17. 21. 23. 25. 31. 32. 48.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",440.76782897689054,"[0.06994156535591863, 0.20935266749644152]","[0.09708313578585845, 0.1690641155251715]",0,15,chaos
13,13,17,1.0,"[ 0.  3.  8.  9. 10. 14. 15. 17. 20. 21. 24. 25. 31. 32. 41. 42. 47.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",823.8840097959221,"[0.07809078777134049, 0.2419005404864333]","[0.038086229761405584, 0.2103745866718353]",0,15,chaos
14,14,20,0.95,"[ 0.  3.  8.  9. 10. 11. 13. 14. 15. 17. 20. 21. 24. 25. 31. 32. 41. 42.
 47. 48.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",689.8370579596703,"[0.06481273279436146, 0.18844849011299197]","[-0.012011217640221332, 0.1337351058220301]",0,15,chaos
15,15,17,1.0,"[ 0.  1.  4.  8.  9. 10. 11. 12. 13. 16. 17. 21. 25. 30. 31. 34. 48.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-143.73259260122524,"[-0.05678064907986741, 0.23292160573090454]","[0.04753459656576487, 0.1999955252627633]",0,15,chaos
16,16,17,0.47058823529411764,"[ 5.  9. 14. 15. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-213.15156436823048,"[-2.3290180037858805, 0.06069222528079093]","[-2.3311257445923266, 0.059314043425456486]",0,15,chaos
17,17,17,0.8235294117647058,"[ 5.  9. 14. 15. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 47. 48.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-9.460024720715495,"[-2.3368576400591636, 0.049093198584285846]","[-2.320263050172657, 0.05458709114833195]",0,15,chaos
18,18,18,0.9444444444444444,"[ 0.  2.  3.  5. 10. 20. 21. 24. 25. 29. 31. 36. 38. 39. 42. 43. 44. 45.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",121.38765871125509,"[-0.020161073101010906, 0.12796650042255442]","[0.06528975044906594, 0.15199304284596185]",0,15,chaos
19,19,20,1.0,"[ 0.  3.  8.  9. 10. 11. 13. 14. 15. 17. 20. 21. 24. 25. 31. 32. 41. 42.
 47. 48.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",728.2900474263054,"[-0.0020626385468391663, 0.20601086361627802]","[0.6722240591594307, 0.7092424694120245]",0,15,chaos
20,0,17,0.9411764705882353,"[ 0.  3.  8.  9. 10. 11. 13. 15. 17. 21. 23. 24. 25. 31. 32. 47. 48.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",564.8460639451015,"[0.001813277309881125, 0.13559531615390727]","[0.039972616969938424, 0.12201569705410414]",1,15,chaos
