,Lineage,Diversity,Fluctuations,Final Composition,Community Function,Lyapunov Exponent (cycle 5),Lyapunov Exponent (cycle 12),Cycle,No. Unique Compositions,Ecological Dynamics
238,18,17,0.8235294117647058,"[ 2.  4.  5.  8. 12. 16. 17. 18. 20. 21. 31. 34. 41. 42. 43. 44. 45.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",426.24107637278894,"[-0.020161073101010906, 0.12796650042255442]","[0.06528975044906594, 0.15199304284596185]",11,13,chaos
239,19,13,0.9230769230769231,"[ 2.  4.  5.  8. 12. 16. 17. 21. 31. 41. 42. 44. 45.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",360.7016076836487,"[-0.0020626385468391663, 0.20601086361627802]","[0.6722240591594307, 0.7092424694120245]",11,13,chaos
240,0,17,0.9411764705882353,"[ 0.  2.  3.  5. 10. 17. 20. 21. 25. 29. 31. 36. 39. 42. 43. 44. 45.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",825.7681003466158,"[0.001813277309881125, 0.13559531615390727]","[0.039972616969938424, 0.12201569705410414]",12,12,chaos
241,1,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-413.24858954600853,"[-2.341259671771694, 0.0560252641386859]","[-2.348538615091171, 0.05690689346493058]",12,12,chaos
242,2,16,0.9375,"[ 0.  1.  8. 10. 11. 13. 15. 17. 20. 21. 25. 31. 32. 38. 43. 47.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",73.00919640123986,"[0.015207264651030195, 0.2154150964750918]","[-0.00635036244023551, 0.21941988599942108]",12,12,chaos
243,3,17,1.0,"[ 0.  2.  3.  5. 10. 17. 21. 24. 25. 29. 31. 36. 39. 42. 43. 44. 45.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",803.1327519777993,"[0.05858513323406462, 0.1966974665878505]","[0.05985292558864494, 0.20241167463214496]",12,12,chaos
244,4,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-413.94969061982295,"[-2.3556000305484694, 0.05514078014149477]","[-2.335624081771916, 0.05657941957387448]",12,12,chaos
245,5,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-420.15917207774027,"[-2.327476881924903, 0.05793897512532319]","[-2.359662989010273, 0.05334131136432711]",12,12,chaos
246,6,16,0.75,"[ 2.  4.  5.  8. 12. 16. 17. 20. 21. 31. 34. 41. 42. 43. 44. 45.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",422.67848254562784,"[-0.001075649388590607, 0.23567343614511901]","[-0.03760691493652652, 0.18592927485258595]",12,12,chaos
247,7,17,0.8235294117647058,"[ 2.  4.  5.  8. 12. 16. 17. 18. 20. 21. 31. 34. 41. 42. 43. 44. 45.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",391.06391341994106,"[0.06116408189173206, 0.13658755867697156]","[0.6089965448572994, 0.6747414361973136]",12,12,chaos
248,8,19,1.0,"[ 0.  2.  3.  5. 10. 14. 17. 21. 24. 25. 29. 31. 36. 37. 39. 42. 43. 44.
 45.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",813.2230961982054,"[-0.011482412552968321, 0.20800820892751776]","[0.02985805818013419, 0.19767084542212202]",12,12,chaos
249,9,15,1.0,"[ 0.  2.  3.  5. 10. 17. 21. 25. 29. 31. 36. 39. 42. 43. 44.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",808.5131181257441,"[0.011739845407576473, 0.21611259526445248]","[0.08081553896759595, 0.20442557404463796]",12,12,chaos
250,10,16,0.0625,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-430.15464308993836,"[-2.327447805554124, 0.05673059302986009]","[-2.2919567323001946, 0.06636192565823949]",12,12,chaos
251,11,16,0.8125,"[ 2.  4.  5.  8. 12. 16. 17. 18. 20. 21. 31. 34. 41. 42. 44. 45.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",371.508848131242,"[0.6024532267086717, 0.681890102942127]","[0.5601926670657653, 0.6921673969828891]",12,12,chaos
252,12,17,0.9411764705882353,"[ 0.  2.  4.  8.  9. 10. 11. 13. 15. 17. 21. 23. 25. 32. 42. 47. 48.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",241.1082501127618,"[0.06994156535591863, 0.20935266749644152]","[0.09708313578585845, 0.1690641155251715]",12,12,chaos
253,13,17,1.0,"[ 0.  1.  8. 10. 11. 13. 15. 17. 20. 21. 25. 31. 32. 38. 43. 47. 48.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",141.6212286935679,"[0.07809078777134049, 0.2419005404864333]","[0.038086229761405584, 0.2103745866718353]",12,12,chaos
254,14,16,0.875,"[ 0.  8.  9. 10. 11. 13. 15. 17. 20. 21. 25. 31. 32. 41. 43. 47.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",472.1036336406476,"[0.06481273279436146, 0.18844849011299197]","[-0.012011217640221332, 0.1337351058220301]",12,12,chaos
255,15,16,0.8125,"[ 2.  4.  5.  8. 12. 16. 17. 18. 20. 21. 31. 34. 41. 42. 44. 45.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",430.01410543904143,"[-0.05678064907986741, 0.23292160573090454]","[0.04753459656576487, 0.1999955252627633]",12,12,chaos
256,16,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-414.0317619388861,"[-2.3290180037858805, 0.06069222528079093]","[-2.3311257445923266, 0.059314043425456486]",12,12,chaos
257,17,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-418.59217021011085,"[-2.3368576400591636, 0.049093198584285846]","[-2.320263050172657, 0.05458709114833195]",12,12,chaos
258,18,17,0.9411764705882353,"[ 0.  2.  3.  5. 10. 17. 20. 21. 25. 29. 31. 36. 39. 42. 43. 44. 45.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",823.4721956212651,"[-0.020161073101010906, 0.12796650042255442]","[0.06528975044906594, 0.15199304284596185]",12,12,chaos
259,19,19,1.0,"[ 0.  2.  3.  5. 10. 14. 17. 21. 24. 25. 29. 31. 36. 37. 39. 42. 43. 44.
 45.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",334.06821552406296,"[-0.0020626385468391663, 0.20601086361627802]","[0.6722240591594307, 0.7092424694120245]",12,12,chaos
260,0,20,0.95,"[ 0.  5.  8.  9. 10. 11. 13. 15. 17. 20. 21. 24. 25. 31. 32. 38. 41. 42.
 43. 47.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",476.3755021513414,"[0.001813277309881125, 0.13559531615390727]","[0.039972616969938424, 0.12201569705410414]",13,13,chaos
261,1,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-414.89130156889814,"[-2.341259671771694, 0.0560252641386859]","[-2.348538615091171, 0.05690689346493058]",13,13,chaos
262,2,13,0.8461538461538461,"[ 4.  5.  8. 12. 16. 17. 21. 31. 34. 41. 42. 44. 45.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",378.6276614018201,"[0.015207264651030195, 0.2154150964750918]","[-0.00635036244023551, 0.21941988599942108]",13,13,chaos
263,3,16,0.875,"[ 0.  8.  9. 10. 11. 13. 15. 17. 20. 21. 25. 31. 32. 41. 43. 47.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",471.7936827295649,"[0.05858513323406462, 0.1966974665878505]","[0.05985292558864494, 0.20241167463214496]",13,13,chaos
264,4,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-417.234638378493,"[-2.3556000305484694, 0.05514078014149477]","[-2.335624081771916, 0.05657941957387448]",13,13,chaos
265,5,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-420.2010709203726,"[-2.327476881924903, 0.05793897512532319]","[-2.359662989010273, 0.05334131136432711]",13,13,chaos
266,6,19,1.0,"[ 0.  2.  3.  5. 10. 14. 17. 21. 24. 25. 29. 31. 36. 37. 39. 42. 43. 44.
 45.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",814.6562294649605,"[-0.001075649388590607, 0.23567343614511901]","[-0.03760691493652652, 0.18592927485258595]",13,13,chaos
267,7,18,0.9444444444444444,"[ 0.  2.  3.  5. 10. 17. 20. 21. 25. 29. 31. 36. 38. 39. 42. 43. 44. 45.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",824.5644364758319,"[0.06116408189173206, 0.13658755867697156]","[0.6089965448572994, 0.6747414361973136]",13,13,chaos
268,8,20,0.95,"[ 0.  5.  8.  9. 10. 11. 13. 15. 17. 20. 21. 24. 25. 31. 32. 38. 41. 42.
 43. 47.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",489.1448869711787,"[-0.011482412552968321, 0.20800820892751776]","[0.02985805818013419, 0.19767084542212202]",13,13,chaos
269,9,18,0.8888888888888888,"[ 0.  8.  9. 10. 11. 13. 15. 17. 20. 21. 24. 25. 31. 32. 38. 41. 43. 47.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",473.15669012359984,"[0.011739845407576473, 0.21611259526445248]","[0.08081553896759595, 0.20442557404463796]",13,13,chaos
270,10,16,0.0625,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-431.9328354656657,"[-2.327447805554124, 0.05673059302986009]","[-2.2919567323001946, 0.06636192565823949]",13,13,chaos
271,11,18,1.0,"[ 0.  2.  3.  5. 10. 17. 21. 24. 25. 29. 31. 36. 37. 39. 42. 43. 44. 45.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",810.9791238302759,"[0.6024532267086717, 0.681890102942127]","[0.5601926670657653, 0.6921673969828891]",13,13,chaos
272,12,18,1.0,"[ 0.  1.  4.  8.  9. 10. 11. 12. 13. 15. 16. 17. 20. 21. 25. 30. 31. 34.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",299.9270502726717,"[0.06994156535591863, 0.20935266749644152]","[0.09708313578585845, 0.1690641155251715]",13,13,chaos
273,13,16,0.8125,"[ 2.  4.  5.  8. 12. 16. 17. 18. 20. 21. 31. 34. 41. 42. 44. 45.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",377.34237991351705,"[0.07809078777134049, 0.2419005404864333]","[0.038086229761405584, 0.2103745866718353]",13,13,chaos
274,14,16,1.0,"[ 0.  1.  8. 10. 11. 13. 15. 17. 20. 21. 25. 31. 32. 38. 43. 47.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",157.72986301311263,"[0.06481273279436146, 0.18844849011299197]","[-0.012011217640221332, 0.1337351058220301]",13,13,chaos
275,15,13,0.9230769230769231,"[ 2.  4.  5. 14. 16. 17. 21. 24. 31. 41. 42. 44. 45.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",361.2013613928721,"[-0.05678064907986741, 0.23292160573090454]","[0.04753459656576487, 0.1999955252627633]",13,13,chaos
276,16,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-423.5210021253899,"[-2.3290180037858805, 0.06069222528079093]","[-2.3311257445923266, 0.059314043425456486]",13,13,chaos
277,17,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-421.3964092666339,"[-2.3368576400591636, 0.049093198584285846]","[-2.320263050172657, 0.05458709114833195]",13,13,chaos
278,18,15,0.6666666666666666,"[ 0.  8.  9. 10. 11. 13. 15. 17. 21. 23. 25. 31. 32. 47. 48.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",421.1105507621075,"[-0.020161073101010906, 0.12796650042255442]","[0.06528975044906594, 0.15199304284596185]",13,13,chaos
279,19,19,1.0,"[ 0.  2.  3.  5. 10. 14. 17. 21. 24. 25. 29. 31. 36. 37. 39. 42. 43. 44.
 45.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",333.6483867624817,"[-0.0020626385468391663, 0.20601086361627802]","[0.6722240591594307, 0.7092424694120245]",13,13,chaos
280,0,15,1.0,"[ 0.  1.  8. 10. 11. 13. 15. 17. 21. 25. 31. 32. 38. 43. 47.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",58.53729382415494,"[0.001813277309881125, 0.13559531615390727]","[0.039972616969938424, 0.12201569705410414]",14,13,chaos
281,1,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-425.1714856766563,"[-2.341259671771694, 0.0560252641386859]","[-2.348538615091171, 0.05690689346493058]",14,13,chaos
282,2,19,1.0,"[ 0.  2.  3.  5. 10. 14. 17. 21. 24. 25. 29. 31. 36. 37. 39. 42. 43. 44.
 45.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",392.1972570102112,"[0.015207264651030195, 0.2154150964750918]","[-0.00635036244023551, 0.21941988599942108]",14,13,chaos
283,3,15,1.0,"[ 0.  1.  8. 10. 11. 13. 15. 17. 21. 25. 30. 31. 32. 47. 48.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",163.68489241362113,"[0.05858513323406462, 0.1966974665878505]","[0.05985292558864494, 0.20241167463214496]",14,13,chaos
284,4,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-423.2404534047331,"[-2.3556000305484694, 0.05514078014149477]","[-2.335624081771916, 0.05657941957387448]",14,13,chaos
285,5,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-418.52865980910536,"[-2.327476881924903, 0.05793897512532319]","[-2.359662989010273, 0.05334131136432711]",14,13,chaos
286,6,19,1.0,"[ 0.  5.  8.  9. 10. 11. 13. 14. 15. 17. 20. 21. 24. 25. 31. 32. 41. 42.
 47.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",539.7919806909092,"[-0.001075649388590607, 0.23567343614511901]","[-0.03760691493652652, 0.18592927485258595]",14,13,chaos
287,7,16,0.9375,"[ 0.  2.  8.  9. 10. 11. 13. 15. 17. 21. 23. 25. 31. 32. 47. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",358.8231096834557,"[0.06116408189173206, 0.13658755867697156]","[0.6089965448572994, 0.6747414361973136]",14,13,chaos
288,8,15,1.0,"[ 0.  1.  8. 10. 11. 13. 15. 17. 21. 25. 31. 32. 38. 43. 47.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",59.931091036395074,"[-0.011482412552968321, 0.20800820892751776]","[0.02985805818013419, 0.19767084542212202]",14,13,chaos
289,9,16,1.0,"[ 0.  1.  8. 10. 11. 13. 15. 17. 20. 21. 25. 31. 32. 38. 43. 47.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",175.2281827262712,"[0.011739845407576473, 0.21611259526445248]","[0.08081553896759595, 0.20442557404463796]",14,13,chaos
290,10,16,0.0625,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-428.9266703857607,"[-2.327447805554124, 0.05673059302986009]","[-2.2919567323001946, 0.06636192565823949]",14,13,chaos
291,11,20,0.9,"[ 0.  5.  8.  9. 10. 11. 13. 15. 17. 20. 21. 24. 25. 31. 32. 38. 41. 42.
 43. 47.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",487.76226980385326,"[0.6024532267086717, 0.681890102942127]","[0.5601926670657653, 0.6921673969828891]",14,13,chaos
292,12,14,1.0,"[ 2.  4.  5. 12. 14. 16. 17. 21. 31. 41. 42. 43. 44. 45.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",709.5480900628656,"[0.06994156535591863, 0.20935266749644152]","[0.09708313578585845, 0.1690641155251715]",14,13,chaos
293,13,19,1.0,"[ 0.  2.  3.  5. 10. 14. 17. 21. 24. 25. 29. 31. 36. 37. 39. 42. 43. 44.
 45.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",816.0383051834983,"[0.07809078777134049, 0.2419005404864333]","[0.038086229761405584, 0.2103745866718353]",14,13,chaos
294,14,17,0.8235294117647058,"[ 2.  4.  5.  8. 12. 16. 17. 18. 20. 21. 31. 34. 41. 42. 43. 44. 45.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",410.9807242409149,"[0.06481273279436146, 0.18844849011299197]","[-0.012011217640221332, 0.1337351058220301]",14,13,chaos
295,15,15,1.0,"[ 2.  3.  5. 14. 17. 21. 24. 25. 29. 31. 36. 39. 42. 44. 45.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",269.53673129050253,"[-0.05678064907986741, 0.23292160573090454]","[0.04753459656576487, 0.1999955252627633]",14,13,chaos
296,16,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-418.63548429198926,"[-2.3290180037858805, 0.06069222528079093]","[-2.3311257445923266, 0.059314043425456486]",14,13,chaos
297,17,16,0.0,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-419.3861784234754,"[-2.3368576400591636, 0.049093198584285846]","[-2.320263050172657, 0.05458709114833195]",14,13,chaos
298,18,20,1.0,"[ 0.  1.  4.  8.  9. 11. 12. 16. 20. 21. 24. 25. 31. 34. 40. 41. 42. 44.
 45. 48.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",317.58282749951263,"[-0.020161073101010906, 0.12796650042255442]","[0.06528975044906594, 0.15199304284596185]",14,13,chaos
