,No_Species,Community,Lineage,Invasibility,Diversity
142,16.0,4.0,2.0,0.0,5.0
143,16.0,4.0,3.0,0.0,5.0
144,16.0,4.0,4.0,0.0,5.0
145,16.0,5.0,0.0,0.0,5.0
146,16.0,5.0,1.0,0.0,5.0
147,16.0,5.0,2.0,0.0,5.0
148,16.0,5.0,3.0,0.0,5.0
149,16.0,5.0,4.0,0.0,5.0
150,19.0,0.0,0.0,0.9375,16.0
151,19.0,0.0,1.0,0.9375,16.0
152,19.0,0.0,2.0,0.9375,16.0
153,19.0,0.0,3.0,0.9375,16.0
154,19.0,0.0,4.0,0.9375,16.0
155,19.0,1.0,0.0,0.0,4.0
156,19.0,1.0,1.0,0.0,4.0
157,19.0,1.0,2.0,0.0,4.0
158,19.0,1.0,3.0,0.0,4.0
159,19.0,1.0,4.0,0.0,4.0
160,19.0,2.0,0.0,0.0,5.0
161,19.0,2.0,1.0,0.0,3.0
162,19.0,2.0,2.0,0.0,7.0
163,19.0,2.0,3.0,0.0,7.0
164,19.0,2.0,4.0,0.0,7.0
165,19.0,3.0,0.0,0.6428571428571429,14.0
166,19.0,3.0,1.0,0.0,7.0
167,19.0,3.0,2.0,0.6428571428571429,14.0
168,19.0,3.0,3.0,0.6428571428571429,14.0
169,19.0,3.0,4.0,0.0,7.0
170,19.0,4.0,0.0,0.0,3.0
171,19.0,4.0,1.0,0.0,3.0
172,19.0,4.0,2.0,0.0,3.0
173,19.0,4.0,3.0,0.0,3.0
174,19.0,4.0,4.0,0.0,3.0
175,19.0,5.0,0.0,0.25,8.0
176,19.0,5.0,1.0,0.25,8.0
177,19.0,5.0,2.0,0.0,6.0
178,19.0,5.0,3.0,0.0,6.0
179,19.0,5.0,4.0,0.0,6.0
180,22.0,0.0,0.0,0.0,5.0
181,22.0,0.0,1.0,0.0,5.0
182,22.0,0.0,2.0,0.0,5.0
183,22.0,0.0,3.0,0.0,5.0
184,22.0,0.0,4.0,0.0,5.0
185,22.0,1.0,0.0,0.0,7.0
186,22.0,1.0,1.0,0.0,7.0
187,22.0,1.0,2.0,0.0,7.0
188,22.0,1.0,3.0,0.0,7.0
189,22.0,1.0,4.0,0.0,7.0
190,22.0,2.0,0.0,0.25,12.0
191,22.0,2.0,1.0,0.5384615384615384,13.0
192,22.0,2.0,2.0,0.25,11.0
193,22.0,2.0,3.0,0.25,12.0
194,22.0,2.0,4.0,0.25,12.0
195,22.0,3.0,0.0,0.0,4.0
196,22.0,3.0,1.0,0.0,4.0
197,22.0,3.0,2.0,0.0,4.0
198,22.0,3.0,3.0,0.0,4.0
199,22.0,3.0,4.0,0.0,4.0
200,22.0,4.0,0.0,0.0,3.0
201,22.0,4.0,1.0,0.0,5.0
202,22.0,4.0,2.0,0.0,3.0
203,22.0,4.0,3.0,0.0,5.0
204,22.0,4.0,4.0,0.0,3.0
205,22.0,5.0,0.0,0.0,5.0
206,22.0,5.0,1.0,0.0,5.0
207,22.0,5.0,2.0,0.0,5.0
208,22.0,5.0,3.0,0.0,5.0
209,22.0,5.0,4.0,0.0,5.0
210,25.0,0.0,0.0,0.75,8.0
211,25.0,0.0,1.0,0.75,8.0
212,25.0,0.0,2.0,0.75,8.0
213,25.0,0.0,3.0,0.75,8.0
214,25.0,0.0,4.0,0.75,8.0
215,25.0,1.0,0.0,0.0,9.0
216,25.0,1.0,1.0,0.0,9.0
217,25.0,1.0,2.0,0.8125,16.0
218,25.0,1.0,3.0,0.8,15.0
219,25.0,1.0,4.0,0.0,9.0
220,25.0,2.0,0.0,0.0,6.0
221,25.0,2.0,1.0,0.0,6.0
222,25.0,2.0,2.0,0.0,6.0
223,25.0,2.0,3.0,0.0,6.0
224,25.0,2.0,4.0,0.0,6.0
225,25.0,3.0,0.0,0.0,7.0
226,25.0,3.0,1.0,0.0,7.0
227,25.0,3.0,2.0,0.0,7.0
228,25.0,3.0,3.0,0.0,7.0
229,25.0,3.0,4.0,0.0,7.0
230,25.0,4.0,0.0,0.9545454545454546,21.0
231,25.0,4.0,1.0,1.0,22.0
232,25.0,4.0,2.0,0.8,20.0
233,25.0,4.0,3.0,1.0,21.0
234,25.0,4.0,4.0,0.8095238095238095,20.0
235,25.0,5.0,0.0,0.5384615384615384,13.0
236,25.0,5.0,1.0,0.5384615384615384,13.0
237,25.0,5.0,2.0,0.5384615384615384,13.0
238,25.0,5.0,3.0,0.5384615384615384,13.0
239,25.0,5.0,4.0,0.5384615384615384,13.0
240,28.0,0.0,0.0,0.0,6.0
241,28.0,0.0,1.0,0.8461538461538461,13.0
242,28.0,0.0,2.0,0.0,6.0
243,28.0,0.0,3.0,0.0,6.0
244,28.0,0.0,4.0,0.0,7.0
245,28.0,1.0,0.0,1.0,19.0
246,28.0,1.0,1.0,0.0,6.0
247,28.0,1.0,2.0,0.0,6.0
248,28.0,1.0,3.0,1.0,19.0
249,28.0,1.0,4.0,0.0,6.0
250,28.0,2.0,0.0,0.0,5.0
251,28.0,2.0,1.0,0.0,5.0
252,28.0,2.0,2.0,0.0,5.0
253,28.0,2.0,3.0,0.0,5.0
254,28.0,2.0,4.0,0.0,5.0
255,28.0,3.0,0.0,0.0,5.0
256,28.0,3.0,1.0,0.0,7.0
257,28.0,3.0,2.0,0.0,5.0
258,28.0,3.0,3.0,0.0,7.0
259,28.0,3.0,4.0,0.0,7.0
260,28.0,4.0,0.0,0.5454545454545454,11.0
261,28.0,4.0,1.0,0.5454545454545454,11.0
262,28.0,4.0,2.0,0.5454545454545454,11.0
263,28.0,4.0,3.0,0.5454545454545454,11.0
264,28.0,4.0,4.0,0.5454545454545454,11.0
265,28.0,5.0,0.0,0.0,7.0
266,28.0,5.0,1.0,0.0,7.0
267,28.0,5.0,2.0,0.0,7.0
268,28.0,5.0,3.0,0.0,7.0
269,28.0,5.0,4.0,0.0,7.0
270,31.0,0.0,0.0,0.8,20.0
271,31.0,0.0,1.0,0.0,6.0
272,31.0,0.0,2.0,0.8,20.0
273,31.0,0.0,3.0,0.0,6.0
274,31.0,0.0,4.0,0.8,20.0
275,31.0,1.0,0.0,0.0,6.0
276,31.0,1.0,1.0,0.0,6.0
277,31.0,1.0,2.0,0.0,6.0
278,31.0,1.0,3.0,0.0,6.0
279,31.0,1.0,4.0,0.0,6.0
280,31.0,2.0,0.0,0.0,6.0
281,31.0,2.0,1.0,0.0,6.0
282,31.0,2.0,2.0,0.0,6.0
283,31.0,2.0,3.0,0.0,6.0
284,31.0,2.0,4.0,0.0,6.0
285,31.0,3.0,0.0,0.46153846153846156,13.0
286,31.0,3.0,1.0,0.46153846153846156,13.0
287,31.0,3.0,2.0,0.5384615384615384,13.0
288,31.0,3.0,3.0,0.5384615384615384,13.0
289,31.0,3.0,4.0,0.46153846153846156,13.0
290,31.0,4.0,0.0,0.3333333333333333,9.0
291,31.0,4.0,1.0,0.0,5.0
292,31.0,4.0,2.0,0.0,7.0
293,31.0,4.0,3.0,0.4444444444444444,9.0
294,31.0,4.0,4.0,0.4444444444444444,9.0
295,31.0,5.0,0.0,0.0,7.0
296,31.0,5.0,1.0,0.0,9.0
297,31.0,5.0,2.0,0.0,7.0
298,31.0,5.0,3.0,0.0,9.0
299,31.0,5.0,4.0,0.0,9.0
300,34.0,0.0,0.0,0.7222222222222222,18.0
301,34.0,0.0,1.0,0.7222222222222222,18.0
302,34.0,0.0,2.0,0.0,9.0
303,34.0,0.0,3.0,0.0,9.0
304,34.0,0.0,4.0,0.7222222222222222,18.0
305,34.0,1.0,0.0,0.0,5.0
306,34.0,1.0,1.0,0.0,5.0
307,34.0,1.0,2.0,0.0,5.0
308,34.0,1.0,3.0,0.0,5.0
309,34.0,1.0,4.0,0.0,5.0
310,34.0,2.0,0.0,0.0,5.0
311,34.0,2.0,1.0,0.0,5.0
312,34.0,2.0,2.0,0.0,7.0
313,34.0,2.0,3.0,0.0,5.0
314,34.0,2.0,4.0,0.0,5.0
315,34.0,3.0,0.0,0.8571428571428571,20.0
316,34.0,3.0,1.0,0.8571428571428571,21.0
317,34.0,3.0,2.0,0.8571428571428571,21.0
318,34.0,3.0,3.0,0.8571428571428571,21.0
319,34.0,3.0,4.0,0.8571428571428571,21.0
320,34.0,4.0,0.0,0.0,7.0
321,34.0,4.0,1.0,0.0,4.0
322,34.0,4.0,2.0,0.0,4.0
323,34.0,4.0,3.0,0.0,4.0
324,34.0,4.0,4.0,0.0,4.0
325,34.0,5.0,0.0,0.0,3.0
326,34.0,5.0,1.0,0.0,3.0
327,34.0,5.0,2.0,0.0,3.0
328,34.0,5.0,3.0,0.0,3.0
329,34.0,5.0,4.0,0.0,3.0
330,37.0,0.0,0.0,0.0,9.0
331,37.0,0.0,1.0,0.0,9.0
332,37.0,0.0,2.0,0.0,9.0
333,37.0,0.0,3.0,0.0,9.0
334,37.0,0.0,4.0,0.0,9.0
335,37.0,1.0,0.0,1.0,28.0
336,37.0,1.0,1.0,1.0,24.0
337,37.0,1.0,2.0,1.0,26.0
338,37.0,1.0,3.0,0.7931034482758621,27.0
339,37.0,1.0,4.0,1.0,26.0
340,37.0,2.0,0.0,0.9,19.0
341,37.0,2.0,1.0,0.0,5.0
342,37.0,2.0,2.0,0.9,19.0
343,37.0,2.0,3.0,0.0,5.0
344,37.0,2.0,4.0,0.9,19.0
345,37.0,3.0,0.0,0.0,9.0
346,37.0,3.0,1.0,0.0,7.0
347,37.0,3.0,2.0,0.0,7.0
348,37.0,3.0,3.0,0.0,9.0
349,37.0,3.0,4.0,0.0,7.0
350,37.0,4.0,0.0,0.0,11.0
351,37.0,4.0,1.0,0.0,11.0
352,37.0,4.0,2.0,0.0,11.0
353,37.0,4.0,3.0,0.0,11.0
354,37.0,4.0,4.0,0.9629629629629629,27.0
355,37.0,5.0,0.0,1.0,22.0
356,37.0,5.0,1.0,1.0,21.0
357,37.0,5.0,2.0,1.0,22.0
358,37.0,5.0,3.0,0.9583333333333334,21.0
359,37.0,5.0,4.0,1.0,23.0
360,40.0,0.0,0.0,0.0,3.0
361,40.0,0.0,1.0,0.0,3.0
362,40.0,0.0,2.0,0.0,3.0
363,40.0,0.0,3.0,0.0,3.0
364,40.0,0.0,4.0,0.0,3.0
365,40.0,1.0,0.0,0.0,5.0
366,40.0,1.0,1.0,0.0,5.0
367,40.0,1.0,2.0,0.0,5.0
368,40.0,1.0,3.0,0.0,5.0
369,40.0,1.0,4.0,0.0,5.0
370,40.0,2.0,0.0,0.0,5.0
371,40.0,2.0,1.0,0.0,5.0
372,40.0,2.0,2.0,0.0,6.0
373,40.0,2.0,3.0,0.0,5.0
374,40.0,2.0,4.0,0.0,5.0
375,40.0,3.0,0.0,1.0,32.0
376,40.0,3.0,1.0,1.0,25.0
377,40.0,3.0,2.0,1.0,31.0
378,40.0,3.0,3.0,1.0,33.0
379,40.0,3.0,4.0,1.0,31.0
380,40.0,4.0,0.0,0.0,6.0
381,40.0,4.0,1.0,0.0,4.0
382,40.0,4.0,2.0,0.0,4.0
383,40.0,4.0,3.0,0.0,4.0
384,40.0,4.0,4.0,0.0,4.0
385,40.0,5.0,0.0,0.0,4.0
386,40.0,5.0,1.0,0.0,4.0
387,40.0,5.0,2.0,0.0,4.0
388,40.0,5.0,3.0,0.0,4.0
389,40.0,5.0,4.0,0.0,4.0
390,43.0,0.0,0.0,0.0,6.0
391,43.0,0.0,1.0,0.0,6.0
392,43.0,0.0,2.0,0.0,7.0
393,43.0,0.0,3.0,0.0,6.0
394,43.0,0.0,4.0,0.0,8.0
395,43.0,1.0,0.0,0.0,5.0
396,43.0,1.0,1.0,0.0,5.0
397,43.0,1.0,2.0,0.0,4.0
398,43.0,1.0,3.0,0.0,5.0
399,43.0,1.0,4.0,0.0,4.0
400,43.0,2.0,0.0,0.0,9.0
401,43.0,2.0,1.0,0.0,9.0
402,43.0,2.0,2.0,0.0,9.0
403,43.0,2.0,3.0,0.0,5.0
404,43.0,2.0,4.0,0.0,7.0
405,43.0,3.0,0.0,0.6428571428571429,14.0
406,43.0,3.0,1.0,0.0,8.0
407,43.0,3.0,2.0,0.0,8.0
408,43.0,3.0,3.0,0.6428571428571429,14.0
409,43.0,3.0,4.0,0.6428571428571429,14.0
410,43.0,4.0,0.0,0.0,8.0
411,43.0,4.0,1.0,0.0,8.0
412,43.0,4.0,2.0,0.92,24.0
413,43.0,4.0,3.0,0.0,8.0
414,43.0,4.0,4.0,0.0,8.0
415,43.0,5.0,0.0,0.0,6.0
416,43.0,5.0,1.0,0.0,6.0
417,43.0,5.0,2.0,0.0,6.0
418,43.0,5.0,3.0,0.0,6.0
419,43.0,5.0,4.0,0.0,6.0
420,46.0,0.0,0.0,0.0,7.0
421,46.0,0.0,1.0,0.0,7.0
