,Unnamed: 0.1,Unnamed: 0,No_Species,Community,Lineage,Le_mean,Le_std,Diversity,Ecological_Dynamics
62,62,62,10.0,0.0,2.0,-0.0012784659604071643,0.00035042347880496116,4,stable
63,63,63,10.0,0.0,3.0,-0.0014501287365455058,0.00039856961917774736,4,stable
64,64,64,10.0,0.0,4.0,-0.0015426418488633277,0.0003051609845792864,4,stable
65,65,65,10.0,1.0,0.0,-0.0006901196008418151,0.00047797910574595503,5,stable
66,66,66,10.0,1.0,1.0,-0.0007458767432325165,0.0004974900857404087,5,stable
67,67,67,10.0,1.0,2.0,-0.000932683859375261,0.00012695254961791715,5,stable
68,68,68,10.0,1.0,3.0,-0.0006966657505995944,0.0004280529229865808,5,stable
69,69,69,10.0,1.0,4.0,-0.0005598474876031763,0.00033656372460335823,5,stable
70,70,70,10.0,2.0,0.0,-0.0012162837993023037,0.0002947990136381832,4,stable
71,71,71,10.0,2.0,1.0,-0.001099359322609726,0.0004128703317435371,4,stable
72,72,72,10.0,2.0,2.0,-0.001074684131309114,0.00045783893432786054,4,stable
73,73,73,10.0,2.0,3.0,-0.0011619433433687706,0.0004297504656810684,4,stable
74,74,74,10.0,2.0,4.0,-0.0011607953877670058,0.0003339752483798929,4,stable
75,75,75,10.0,3.0,0.0,-0.0008272629537454436,0.00018753103446660012,6,stable
76,76,76,10.0,3.0,1.0,-0.0007491755871614301,0.00021118631429359653,6,stable
77,77,77,10.0,3.0,2.0,-0.0008236429759185544,0.00023199262411348389,6,stable
78,78,78,10.0,3.0,3.0,-0.0007840612394898177,0.0001557039965465204,6,stable
79,79,79,10.0,3.0,4.0,-0.0007644130019909607,0.0018621211297075893,3,stable
80,80,80,10.0,4.0,0.0,-0.001119666524349064,0.000456243622461793,4,stable
81,81,81,10.0,4.0,1.0,-0.0012345789872884945,0.0003819223484853284,4,stable
82,82,82,10.0,4.0,2.0,-0.0012303433044862672,0.0003924953138123536,4,stable
83,83,83,10.0,4.0,3.0,-0.0011662182061689895,0.0004540584463604596,4,stable
84,84,84,10.0,4.0,4.0,-0.0011801916673010507,0.0004085358765370145,4,stable
85,85,85,10.0,5.0,0.0,-0.0009962146451879031,0.00016906372377355016,5,stable
86,86,86,10.0,5.0,1.0,-0.0006885258880970684,0.00046165881772271283,5,stable
87,87,87,10.0,5.0,2.0,-0.0011348455172281986,0.0003110700077228321,4,stable
88,88,88,10.0,5.0,3.0,-0.0011900559414963895,0.0005969220131041262,4,stable
89,89,89,10.0,5.0,4.0,-0.0009810034593305654,9.066767233893895e-05,5,stable
90,90,90,13.0,0.0,0.0,-0.0003987758934861895,0.00027261114075982195,5,stable
91,91,91,13.0,0.0,1.0,-0.00049711363830421,0.000691673708724757,5,stable
92,92,92,13.0,0.0,2.0,-0.0004186301287669531,0.0004124294031896837,5,stable
93,93,93,13.0,0.0,3.0,-0.00037673692845514373,0.00026551897283081256,5,stable
94,94,94,13.0,0.0,4.0,-0.00041733589361023547,0.00024201334538135396,5,stable
95,95,95,13.0,1.0,0.0,-0.0010543135441253794,0.00048383210670622763,5,stable
96,96,96,13.0,1.0,1.0,-0.001553823436060201,2.4734909109922397e-05,5,stable
97,97,97,13.0,1.0,2.0,-0.0008247021144360753,0.0015865610999713316,2,stable
98,98,98,13.0,1.0,3.0,-0.001099128943700838,0.00026874602633124593,5,stable
99,99,99,13.0,1.0,4.0,6.0590870999206994e-06,8.512923759035375e-05,2,stable
100,100,100,13.0,2.0,0.0,-0.00029473487462114005,0.00039222076740333915,4,stable
101,101,101,13.0,2.0,1.0,-0.0004935031861440754,0.0007868647925327048,4,stable
102,102,102,13.0,2.0,2.0,-0.0005059263665730814,0.0004169916881143127,4,stable
103,103,103,13.0,2.0,3.0,-0.0004676418704403102,0.0006166859387402711,4,stable
104,104,104,13.0,2.0,4.0,-0.0001502392239520043,6.131153395050714e-05,4,stable
105,105,105,13.0,3.0,0.0,0.00048516248376626525,0.00032762168946107227,4,stable
106,106,106,13.0,3.0,1.0,0.0003423359081566808,0.0005442607413446589,4,stable
107,107,107,13.0,3.0,2.0,-0.0008139900626729849,0.0012467369508077806,4,stable
108,108,108,13.0,3.0,3.0,0.00036693947187050674,0.0007512233297230004,4,stable
109,109,109,13.0,3.0,4.0,-0.00041116405070626226,0.0009692879406774941,4,stable
110,110,110,13.0,4.0,0.0,0.00021285647788746756,0.0004569203395747728,4,stable
111,111,111,13.0,4.0,1.0,0.00021240831254560832,0.00037369532033511445,4,stable
112,112,112,13.0,4.0,2.0,0.00022317330764611929,0.0003001180540629605,4,stable
113,113,113,13.0,4.0,3.0,-0.0005655906585727398,0.0008174956081363841,4,stable
114,114,114,13.0,4.0,4.0,-0.0002729807511158958,0.00029243770158284807,4,stable
115,115,115,13.0,5.0,0.0,-7.628892944724325e-05,0.001003184862946986,6,chaotic-like
116,116,116,13.0,5.0,1.0,6.633144759056429e-05,0.002155208850223002,6,chaotic-like
117,117,117,13.0,5.0,2.0,0.00026684221024865366,0.0014607531145830789,6,chaotic-like
118,118,118,13.0,5.0,3.0,0.00014871751119960997,0.0017578621835216432,6,chaotic-like
